ident;nazwisko;imie;data urodz;laureat;swiadectwo;egzamin;wolontariat;konkursy;profil
1351;Fpbacka;Amadea;31.12.2007;0;64;78;2;17;9
1396;Gsbacka;Amanda;30.5.2008;0;61;85;3;0;5
1710;Arbacka;Amanda;18.6.2007;0;67;78;2;17;6
1070;Kobacki;Amat;10.10.2008;0;70;76;1;6;4
1125;Fdbacki;Amat;16.4.2007;0;66;84;0;22;2
1891;Kobacki;Amat;29.3.2007;0;67;61;1;16;4
1370;Tobacka;Angelika;2.9.2008;0;62;87;2;20;10
1699;Cnbacka;Angelika;24.7.2008;0;69;94;2;10;9
1232;Scbacki;Antoni;28.11.2007;0;65;98;0;7;3
1482;Mhbacki;Antoni;2.4.2007;0;64;92;3;19;1
1530;Drbacki;Antoni;7.9.2007;0;70;69;1;17;5
1761;Mmbacki;Antoni;21.9.2007;0;60;97;1;21;10
1795;Lwbacki;Antoni;24.7.2008;0;69;80;1;6;6
1877;Lwbacki;Antoni;25.7.2007;0;67;78;1;18;9
1195;Ejbacki;Antonin;29.1.2008;0;67;97;0;0;6
1478;Egbacki;Antonin;19.5.2007;0;60;62;3;1;7
1560;Khbacki;Antonin;10.4.2007;1;61;93;1;22;7
1755;Hlbacka;Antonina;19.3.2007;1;67;97;2;1;2
1108;Pbbacki;Ardalion;5.3.2007;0;64;89;0;4;1
1527;Ufbacki;Ardalion;10.5.2007;0;68;82;0;24;10
1751;Pdbacki;Ardalion;30.3.2007;0;63;61;0;19;7
1042;Lcbacki;Arsacjusz;12.10.2007;0;70;85;2;7;4
1149;Whbacki;Arsacjusz;18.11.2008;0;67;79;0;20;7
1207;Dgbacki;August;14.9.2007;0;70;72;2;19;10
1229;Usbacki;August;15.6.2007;1;64;95;2;12;5
1289;Wkbacki;August;22.2.2007;0;67;85;1;6;9
1485;Pobacki;August;6.12.2007;1;65;98;1;13;9
1601;Sebacki;August;25.5.2007;0;69;79;1;3;7
1274;Bbbacka;Augusta;14.4.2008;0;67;82;1;24;9
1704;Ofbacka;Augusta;24.12.2007;0;68;61;0;0;9
1033;Ftbacki;Augustyn;11.9.2007;0;62;99;0;7;4
1209;Kibacki;Augustyn;4.1.2007;0;66;78;1;11;7
1297;Bobacki;Augustyn;14.6.2008;0;63;72;2;16;3
1566;Fibacki;Augustyn;30.9.2007;0;62;83;1;20;9
1102;Pabacka;Augustyna;18.12.2007;1;71;88;2;24;7
1172;Nbbacka;Augustyna;5.2.2008;0;62;96;0;14;10
1185;Fibacka;Augustyna;17.7.2007;0;62;65;2;22;4
1118;Wlbacka;Auksencja;2.12.2007;0;67;93;2;5;2
1155;Ggbacka;Auksencja;9.10.2007;0;61;98;2;14;4
1237;Gpbacka;Auksencja;18.8.2007;0;71;66;0;21;2
1311;Kgbacka;Auksencja;19.9.2007;0;69;64;2;19;1
1728;Rwbacka;Auksencja;10.2.2007;0;69;68;3;16;6
1857;Lkbacka;Auksencja;10.2.2007;0;63;67;0;22;7
1144;Ehbacki;Auksencjusz;15.8.2007;0;71;78;2;7;1
1266;Pcbacki;Auksencjusz;18.8.2007;0;69;74;2;16;8
1371;Hdbacki;Auksencjusz;2.10.2008;0;65;63;1;12;1
1447;Rebacki;Auksencjusz;29.3.2008;0;71;67;0;10;7
1279;Mgbacki;Auksenty;10.11.2007;0;69;95;3;24;6
