pesel;województwo;miesjce zamieszkania (miasto-wieś)
93071285223;zachodniopomorskie;wieś
71100161818;pomorskie;miasto
81042322710;świętokrzyskie;miasto
72083133476;lubuskie;wieś
50072800150;małopolskie;miasto
93050716944;lubelskie;miasto
72081479033;małopolskie;miasto
95090874952;lubuskie;miasto
61121070211;zachodniopomorskie;wieś
81051730520;lubelskie;miasto
95061702620;pomorskie;miasto
50080851678;śląskie;miasto
79092865583;warmińsko-mazurskie;miasto
66091136037;mazowieckie;miasto
84081042483;warmińsko-mazurskie;wieś
76012491819;śląskie;miasto
60112365499;lubelskie;miasto
95100981335;pomorskie;miasto
91111640340;podlaskie;miasto
74012678094;podkarpackie;wieś
83041036704;wielkopolskie;miasto
61122682262;opolskie;wieś
91120411609;kujawsko-pomorskie;wieś
72082694471;łódzkie;wieś
97122899159;lubelskie;wieś
56071053131;dolnośląskie;miasto
83020158890;zachodniopomorskie;wieś
86040879028;podlaskie;wieś
56102724748;zachodniopomorskie;wieś
57011144311;lubelskie;miasto
88040991416;warmińsko-mazurskie;wieś
86112649382;małopolskie;miasto
71010805927;łódzkie;miasto
94062395770;mazowieckie;miasto
61120262307;wielkopolskie;miasto
81061212645;mazowieckie;miasto
82030696103;warmińsko-mazurskie;miasto
94022848630;podlaskie;miasto
99020135465;łódzkie;miasto
82080288567;łódzkie;wieś
66020115140;łódzkie;miasto
86032868618;opolskie;wieś
83111806237;warmińsko-mazurskie;miasto
67092597948;podlaskie;miasto
55032362187;łódzkie;wieś
68111551073;opolskie;wieś
72050199081;łódzkie;wieś
89110619812;opolskie;wieś
92062939635;podlaskie;miasto
96022721818;opolskie;miasto
67082759149;warmińsko-mazurskie;miasto
53041338908;mazowieckie;miasto
85070464356;podkarpackie;miasto
67110443901;zachodniopomorskie;wieś
76112956896;wielkopolskie;wieś
78072344438;świętokrzyskie;miasto
50092746764;mazowieckie;miasto
67090933304;lubelskie;wieś
94070783248;zachodniopomorskie;miasto
78031408458;mazowieckie;wieś
75111802177;małopolskie;wieś
84011772408;dolnośląskie;wieś
73101944548;lubuskie;miasto
98112560941;dolnośląskie;miasto
80020544623;podlaskie;wieś
78090623276;opolskie;wieś
85100461779;lubuskie;wieś
62103049429;opolskie;miasto
64092166116;dolnośląskie;miasto
72112844735;łódzkie;wieś
90071102655;podkarpackie;miasto
80100724608;lubelskie;wieś
67111696971;łódzkie;wieś
87100455842;małopolskie;wieś
64090118269;dolnośląskie;wieś
61061727275;zachodniopomorskie;wieś
66121567550;małopolskie;miasto
92102923299;podlaskie;wieś
97011978576;zachodniopomorskie;wieś
75042006365;podlaskie;miasto
51100113466;podkarpackie;wieś
72073013618;podkarpackie;wieś
95071506935;pomorskie;wieś
64082706270;małopolskie;wieś
74102033752;pomorskie;wieś
57081355125;podlaskie;miasto
63091825499;lubuskie;wieś
90040264315;wielkopolskie;wieś
93021005602;opolskie;wieś
71060935904;dolnośląskie;wieś
66042814865;kujawsko-pomorskie;wieś
97080217897;zachodniopomorskie;wieś
81053035807;wielkopolskie;miasto
91022423029;mazowieckie;miasto
75090195129;podkarpackie;miasto
84070107438;pomorskie;miasto
66043085280;kujawsko-pomorskie;wieś
50121269604;opolskie;miasto
85122146708;podlaskie;miasto
90010495521;mazowieckie;miasto
72100728249;małopolskie;miasto
54082626522;kujawsko-pomorskie;miasto
60082633448;lubuskie;wieś
57091615958;mazowieckie;miasto
87111052780;dolnośląskie;miasto
50040740697;śląskie;miasto
68101095387;lubuskie;wieś
62033049740;świętokrzyskie;miasto
79072780929;dolnośląskie;miasto
94051017843;podkarpackie;miasto
98010553667;opolskie;miasto
98052401375;świętokrzyskie;wieś
86072999428;podkarpackie;wieś
76061601553;śląskie;wieś
69011748389;zachodniopomorskie;wieś
72053198339;małopolskie;wieś
92111126939;lubelskie;miasto
56122609544;pomorskie;miasto
78022120507;kujawsko-pomorskie;miasto
93062318824;wielkopolskie;wieś
68111201527;mazowieckie;wieś
